tweet_id,created_at,favorite_count,retweet_count,followers_count,profile_color,url,source
876537666061221889,Sun Jun 18 20:30:39 +0000 2017,21879,4186,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
876484053909872640,Sun Jun 18 16:57:37 +0000 2017,17319,2105,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
876120275196170240,Sat Jun 17 16:52:05 +0000 2017,25812,4152,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
875747767867523072,Fri Jun 16 16:11:53 +0000 2017,23151,3807,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
875144289856114688,Thu Jun 15 00:13:52 +0000 2017,20243,4379,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
875097192612077568,Wed Jun 14 21:06:43 +0000 2017,25324,5429,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
875021211251597312,Wed Jun 14 16:04:48 +0000 2017,23544,4201,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
874680097055178752,Tue Jun 13 17:29:20 +0000 2017,25684,4138,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
874434818259525634,Tue Jun 13 01:14:41 +0000 2017,0,12968,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
874296783580663808,Mon Jun 12 16:06:11 +0000 2017,24042,3686,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
874057562936811520,Mon Jun 12 00:15:36 +0000 2017,20979,3558,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
874012996292530176,Sun Jun 11 21:18:31 +0000 2017,31560,9124,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
873580283840344065,Sat Jun 10 16:39:04 +0000 2017,22371,3525,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
873337748698140672,Sat Jun 10 00:35:19 +0000 2017,0,1413,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
873213775632977920,Fri Jun 09 16:22:42 +0000 2017,6614,1413,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
872967104147763200,Fri Jun 09 00:02:31 +0000 2017,25178,4849,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
872820683541237760,Thu Jun 08 14:20:41 +0000 2017,13631,3333,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
872620804844003328,Thu Jun 08 01:06:27 +0000 2017,19171,3261,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
872486979161796608,Wed Jun 07 16:14:40 +0000 2017,37721,8126,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
872122724285648897,Tue Jun 06 16:07:15 +0000 2017,31670,7264,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
871879754684805121,Tue Jun 06 00:01:46 +0000 2017,34737,9804,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
871762521631449091,Mon Jun 05 16:15:56 +0000 2017,18716,3132,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
871515927908634625,Sun Jun 04 23:56:03 +0000 2017,18700,3123,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
871166179821445120,Sun Jun 04 00:46:17 +0000 2017,0,5134,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
